t,x,y,yaw
187.316676435,0.0,0.0,-3.764913642580099e-06
1765304481.0286634,0.0,0.0,-3.7649136426232137e-06
1765304481.2286663,0.005170783202875458,-0.001695919632576971,1.975315938373967e-06
1765304481.4619982,-0.017320245735476407,-0.0057924550357442255,6.526916628946111e-06
1765304481.662052,-0.013041071815879296,-0.005701296606987042,-5.044268905685101e-06
1765304481.8954384,-0.008059577189678167,-0.002015886268384448,-4.6177452522222495e-05
1765304482.128667,-0.011419199693699875,0.00040932176800824216,1.9481464555770603e-05
1765304482.328685,-0.006494205400081106,0.010888844336111727,4.043729393998774e-06
1765304482.561996,0.0013186991895527851,7.705151779370644e-05,-7.128119191879279e-05
1765304482.762019,0.010511840527564546,-0.015835776415071535,-0.00017129150251804504
1765304482.9620886,0.01324411703947748,-0.020359114149781653,-0.00019822928782975424
1765304483.295435,0.006210108063140353,-0.024514039708257607,-0.00022249942811480852
1765304483.5287597,-0.0002089638890130502,-0.014768505985269534,-0.00021433054830710674
1765304483.762013,-0.017097193847425644,-0.0011377426259140731,-0.00017658884204108105
1765304484.0953197,-0.02310507150534072,0.002133468578780486,-0.0002299629123507785
1765304484.2953286,-0.022201656981190844,-0.0032566874375519342,-0.00024025743216693485
1765304484.4954376,-0.02909694759938125,-0.009522069232459553,-0.00027296826625455855
1765304484.7286701,-0.02947464278755371,-0.019887347279476802,-0.00025435489875791367
1765304484.9286766,-0.01750367860088265,-0.03704332026779688,-0.00026049095091584823
1765304485.1621075,-0.020505077761989978,-0.01925249848424729,-0.0003191236110331453
1765304485.462003,-0.023694185738115107,-0.013300346499530364,-0.00027987525700812205
1765304485.6620035,-0.019040338080436692,-0.01495103226269453,-0.0003229018977557452
1765304485.895342,-0.0074048720500691795,-0.021835640033734453,-0.0003214766339763031
1765304486.0953434,-0.008751557523708382,-0.02071327383564213,-0.00031877987304929084
1765304486.328672,-0.004234441432104941,-0.02586894709488865,-0.0002911880240001885
1765304486.595355,-0.008347172869616648,-0.03139161061113495,-0.00024052817153430442
1765304486.8286712,-0.015442499467972734,-0.026650669052245557,-0.0002488672311700135
1765304487.0286853,-0.020282004579410838,-0.03638697152671224,-0.00024648806500282566
1765304487.262027,-0.020893777282654236,-0.04294022014940705,-0.00028993827958956325
1765304487.5287511,-0.02512523165417156,-0.04443960797083972,-0.00030649695325246634
1765304487.7620294,-0.027225949872090434,-0.04708524131458678,-0.000324024503217224
1765304487.9620829,-0.029736737333938203,-0.03689515855378582,-0.00034325758929165673
1765304488.2286532,-0.013484096119215338,-0.0645150260088657,-0.0003374033473773075
1765304488.4286668,-0.02740439061563537,-0.059361404166913975,-0.0003462839674659435
1765304488.6953447,-0.02713752115070702,-0.0829735120365527,-0.0003286495420335988
1765304488.9620109,-0.03752507092918265,-0.08059101323678532,-0.0003560764722263521
1765304489.1953356,-0.030254667917842173,-0.0804431324457365,-0.0003293805976358755
1765304489.4286819,-0.0283799955816455,-0.07549030929402607,-0.000313840171649371
1765304489.6286907,-0.037722109355917556,-0.06620014822985883,-0.0002721898886375307
1765304489.8953376,-0.03684926241221468,-0.06277347791363956,-0.00027402942874354963
1765304490.1953337,-0.03741549442472449,-0.057472898011071,-0.00031080926425852695
1765304490.3953984,-0.044637016249128525,-0.04735119700037142,-0.0003164066011747124
1765304490.6620035,-0.042806531146651165,-0.054934721326258866,-0.0003137495358882525
1765304490.8620217,-0.052261745387261326,-0.03571767723383179,-0.00028263033834718954
1765304491.1286814,-0.06183102042737958,-0.042444742569346654,-0.0002533367416082122
1765304491.3620083,-0.054158238381916565,-0.04324580360488,-0.0002790441886939554
1765304491.628658,-0.05885941606328395,-0.042524328865020805,-0.00029736715311967643
1765304491.8620088,-0.05033504384671055,-0.046712561706995795,-0.00034512069309800003
1765304492.12865,-0.04989079824875495,-0.06824127133543104,-0.0003286067788961233
1765304492.3286712,-0.04950108885629454,-0.0740740879585257,-0.0003926743783702058
1765304492.5619884,-0.04926398444212061,-0.06840856319047878,-0.00038923257245659926
1765304492.7953405,-0.033969465121229524,-0.08106005662721819,-0.00039128397005727683
1765304492.9953554,-0.030350884540358797,-0.08873846423022407,-0.0003510011516492107
1765304493.2620037,-0.02722242655366359,-0.10367478461802407,-0.00043367481570077965
1765304493.5286822,-0.030128096113746075,-0.10337050922496346,-0.000498591561302053
1765304493.7619894,-0.02696993694723871,-0.07841203038288269,-0.00057039286610161
1765304493.962012,-0.02906004279507844,-0.0830693367766725,-0.0004439343611291057
1765304494.2286859,-0.034416848349626813,-0.11139836072516647,0.0002605640237969275
1765304494.495334,-0.0396714724248965,-0.09408152315860735,-8.642002140746287e-05
1765304494.6953464,-0.019311116337532252,-0.08366293404670683,-0.0008684318927483224
1765304494.92867,0.0418570296215886,-0.07978125646008825,-0.0009459914302327733
1765304495.1953418,0.08553874873246968,-0.05748415409334164,-0.0009690961800519206
1765304495.428681,0.12191917139784234,-0.05657141331898456,-0.000959217769871845
1765304495.6620347,0.15957302065466578,-0.049393733988836855,-0.001004862796058159
1765304495.9286711,0.21839292242398278,-0.05231649325715885,-0.0009845202889064986
1765304496.1953392,0.2723033231332793,-0.050229392657335725,-0.0009511012295315701
1765304496.4286666,0.3192009960792874,-0.056359285228879695,-0.0009626494055656742
1765304496.662022,0.3635236920665524,-0.042622235014063044,-0.0009862693165056948
1765304496.8953419,0.3924730647670632,-0.0386998371446183,-0.001004702061584428
1765304497.1286752,0.42964428168378455,-0.02794365973814847,-0.001035391279176068
1765304497.3620024,0.47509543586103403,-0.016579345860804024,-0.0010234591201787602
1765304497.628664,0.5285937357218834,-0.01142207516885038,-0.0009848544482622401
1765304497.8286827,0.5510940924359977,-0.01793625558953391,-0.0010186597357675353
1765304498.062016,0.5783944877941312,-0.01948307675211355,-0.0010261794398980228
1765304498.2953374,0.6215374159382525,-0.004517272760594686,-0.0009709871309295793
1765304498.5286503,0.662419484058912,0.0033853076172670315,-0.0009362758602766696
1765304498.7287037,0.6781942052791694,0.0016360153200057454,-0.0009201097691500236
1765304498.995331,0.7399901410254778,-0.0030020418467542652,-0.0009236310193152519
1765304499.1954322,0.7738266364734363,0.01662785871190785,-0.0009000452354532839
1765304499.4620078,0.8313260754958801,0.028689195727563524,-0.0009474734197461032
1765304499.6953332,0.8720924979331219,0.029054167549294824,-0.0009637761392640165
1765304499.8953354,0.9150251464111455,0.04364853132987089,-0.0009746187182235744
1765304500.128653,0.9661155874461335,0.04163786429759341,-0.0010358550632894037
1765304500.3286629,1.001085150192352,0.031193045200290124,-0.00103983069547775
1765304500.6620033,1.0523453298029015,0.034291079421465614,-0.0010012145452646948
1765304500.8620057,1.0143363440424331,0.037539707015413266,-0.0007943434210107014
1765304501.1620088,1.0181767783152373,0.028742629091447057,0.00010453825716272291
1765304501.3953295,0.9922095792433584,0.03651318446469616,0.000817526252299583
1765304501.661999,0.9712564247392611,0.03744485562565902,0.003786451548934533
1765304501.8953393,0.9635258903097622,0.03686131188672931,0.005463665183719879
1765304502.0953405,0.95849706467293,0.04087299564274682,0.017950083537786824
1765304502.3286607,0.9750206360748975,0.04153805033007966,0.100862282657594
1765304502.5620108,0.9956239890988793,0.05642865978382678,0.21560156695622545
1765304502.7620137,0.9866645227803144,0.04451522268463859,0.3240893189318119
1765304502.962049,0.9858567723991637,0.043731080452415,0.40445332433406556
1765304503.1954353,0.9846403773242224,0.042631044267871794,0.49029035707662016
1765304503.462011,0.9836076885177761,0.041166281492755016,0.5977756059072616
1765304503.6953335,0.977538596443229,0.036512387863583254,0.6483213277914537
1765304503.9619825,0.9832598178066997,0.0404104137306745,0.5847883917810441
1765304504.2286758,0.9888527577860956,0.04303876749687564,0.5751537156292766
1765304504.4620013,0.9938024453261729,0.03946941897634885,0.5719560683502264
1765304504.6620047,1.011077239603936,0.04637875714003286,0.6557886133871449
1765304504.8620121,1.045442676493243,0.055914982958370676,0.7292488323566922
1765304505.0620327,1.0566255462113154,0.06654896342740821,0.7881046588667932
1765304505.2953231,1.0559811694602865,0.06660081309465198,0.8746414356645111
1765304505.4953287,1.0534285022424204,0.06604548351276765,0.9810508662874263
1765304505.6953464,1.0523270365699597,0.06581598574129736,1.1079828098483997
1765304505.928668,1.0518730461154748,0.06562603278730139,1.2376786277467469
1765304506.1620612,1.0510875769319765,0.0649654648045644,1.2729784824584556
1765304506.5286815,1.063744247593019,0.06841068413471142,1.326175929543318
1765304506.7953224,1.0876414639096041,0.08860790651353546,1.3325000404809517
1765304506.99533,1.1090524447675152,0.09231674900537916,1.330976748301623
1765304507.2286696,1.1282979495804553,0.13924520802638918,1.3731390979964695
1765304507.4620132,1.1464350696802348,0.15648287413881098,1.3791839809714173
1765304507.695334,1.1739518713853263,0.17808025001416602,1.385752009109348
1765304507.9286752,1.1969827006581302,0.19664367001932512,1.3822062363981384
1765304508.1953392,1.1969060456363516,0.19736336181254877,1.3832090613704233
1765304508.5286639,1.1955727245806704,0.19542963201351188,1.388052689469836
1765304508.7620115,1.1901135736385626,0.19611918090482172,1.3958865713762378
1765304508.9953332,1.220824344454253,0.1804008588750151,1.3997496567038026
1765304509.1953511,1.2528683932951516,0.17741198844531858,1.3945233055820072
1765304509.4620042,1.3025395091964016,0.1691712939650332,1.3976958511269792
1765304509.6953456,1.3457237140987799,0.1568829451039064,1.3927376211456135
1765304509.995306,1.3891697383746386,0.15975557507839044,1.394659592550374
1765304510.1953843,1.3721166032716492,0.1661111570485397,1.3873281866832639
1765304510.5953324,1.385793947770165,0.16404015079973394,1.3963323812247557
1765304510.8286717,1.3617827430791258,0.15234039384729167,1.3886056779884672
1765304511.09533,1.363821569610785,0.15744517393847118,1.388577589228591
1765304511.3619988,1.364151720385383,0.17706306288589455,1.3874320790579198
1765304511.562002,1.3618239688574376,0.19542686675774584,1.3849061861079974
1765304511.828697,1.3620423193370463,0.21422674157360608,1.385721248213751
1765304512.0620806,1.3597286149661574,0.22547718693525917,1.3843970238551648
1765304512.2953188,1.3583973320214326,0.23542428129986118,1.3838642429744625
1765304512.5286753,1.3574185827292504,0.24698286627027818,1.3834449284535013
1765304512.8619883,1.3604751958995314,0.2795937839827371,1.3842075620161207
1765304513.0620062,1.3595108632953747,0.28092799833106946,1.3823330117820873
1765304513.2953475,1.3639712517572369,0.3043437618065978,1.3823766851754389
1765304513.5286803,1.3643861507540902,0.3147058904206614,1.382080684787456
1765304513.828672,1.3700343656260752,0.3492208442477355,1.3822618357361796
1765304514.02868,1.3706208588816688,0.3466482744418563,1.3814362252285441
1765304514.2619958,1.371805738291629,0.35998121327227645,1.3814719737493544
1765304514.4954097,1.3728264378004955,0.37266118874728504,1.3813528886267576
1765304514.7287424,1.3762301180090246,0.38404318392495346,1.381035245671054
1765304515.0620003,1.3760189325754921,0.3908030677096445,1.381568495143913
1765304515.2953374,1.3771383637441574,0.3873134506151844,1.3819158892077181
1765304515.495338,1.3787724007661488,0.40261706460396146,1.3822963738292406
1765304515.7286675,1.3513847781544597,0.4047490422342619,1.3824131536151487
1765304516.0286493,1.2918498619638181,0.4059081840573143,1.3825777539437414
1765304516.295316,1.2435451705188887,0.41474341726738617,1.382563168356074
1765304516.4953258,1.222297919672775,0.41654923515781606,1.3824969462426413
1765304516.695341,1.189520355292904,0.41992648998573134,1.3825674727223198
1765304516.895343,1.1548778747267727,0.42441634297940617,1.3827147116985286
1765304517.1286778,1.108249799898164,0.43040891681208304,1.3828251003034255
1765304517.3953347,1.0564505573838758,0.43169649798182985,1.3828943974054733
1765304517.6953478,1.0138298233743397,0.44894950075276996,1.3829364904932042
1765304517.9286742,0.991014762680415,0.4626490012254858,1.3828770142845368
1765304518.195333,0.9478189575042559,0.4722954349237915,1.3829092527834446
1765304518.3953478,0.9278637841185654,0.47460226628240426,1.3828620625716999
1765304518.6286998,0.8868434671914662,0.4787388955279625,1.3829372754270137
1765304518.8953452,0.8407377797780474,0.4842332213844027,1.3830451513054962
1765304519.128671,0.8151225648605785,0.49200882896535586,1.3831021874929288
1765304519.3286934,0.7876877320363389,0.5021992109726686,1.3831547750043036
1765304519.5620024,0.7454737999784282,0.4918023064708795,1.383246921335105
1765304519.7954254,0.6986576059857467,0.5147481633567267,1.3833289772775519
1765304520.0619936,0.6619065936364462,0.5300707429236637,1.383392933516797
1765304520.2620354,0.6373463198130008,0.538648125842306,1.383350753285544
1765304520.4953337,0.6012764141406338,0.5497782387007466,1.3833976089225624
1765304520.6953351,0.5757180118952342,0.560589395105134,1.383402110535032
1765304520.9286792,0.547173718542993,0.5715439712414943,1.3834262282283898
1765304521.1620152,0.5139859204309704,0.5863407843863647,1.3834245698156016
1765304521.3953478,0.47278048659040817,0.5867873778266731,1.3834893711897944
1765304521.5953481,0.4492618417920919,0.5794841991343411,1.383537924014024
1765304521.8619905,0.3876217387171193,0.580919056047905,1.383633838781771
1765304522.06201,0.38146924781350333,0.5974065192442022,1.3836796648010816
1765304522.2953308,0.35567485158705653,0.6228974682970871,1.3837116421342648
1765304522.5619533,0.3523135073935394,0.6139173600808934,1.3833869050600924
1765304522.828675,0.36041933675704196,0.6137465046273151,1.3822320526367502
1765304523.0953274,0.3653872385257159,0.6118820932668018,1.3809135096876508
1765304523.295342,0.37257978606978426,0.6051393186112332,1.3797612415765237
1765304523.5620418,0.37276727906423623,0.5808720004342973,1.379443138435507
1765304523.7620754,0.3757743258957873,0.5676236090264198,1.3795465113848282
1765304523.9953253,0.37330014352458746,0.5370928010851679,1.3795269553091298
1765304524.2286773,0.37090658619780753,0.5017698905305008,1.3795309830364957
1765304524.4620156,0.3662995399584575,0.46995349324513874,1.3795270577908978
1765304524.728683,0.36115897518015666,0.4343756862159143,1.3795453358933238
1765304524.9620068,0.3587433617282214,0.4206307934954204,1.379629546679059
1765304525.1620128,0.35671573916525756,0.4139443587585205,1.3796645739607893
1765304525.4287276,0.3588651773731799,0.39635902932041384,1.3796161302542753
1765304525.6620188,0.3584255446124032,0.39458710775737654,1.3796698024403957
1765304525.8621573,0.3494094370038801,0.36084295370413677,1.3797367615256244
1765304526.0953472,0.3503619878465976,0.33825113264785645,1.3796781434834848
1765304526.3287215,0.3524707374119669,0.33409862760053555,1.3796480019469115
